baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Prpf6	1800.5442111528	2.43938379635539	2.27023530102287	1.07450703248968	0.282595494560172	0.999114747917564
Rgs19	1179.16551238417	-0.633751325887932	2.43076356950267	-0.260721089389042	0.794307601412683	0.999114747917564
Snrpd1	156.143969832077	-0.493434845079731	0.801920021990759	-0.615316779165563	0.538345538649804	0.999114747917564
Puf60	10526.9871604687	-0.326826749376897	0.385171732518572	-0.848522157220189	0.396147238131606	0.999114747917564
Mien1	1558.45642032769	0.396601536634158	1.23997613806161	0.3198461038566	0.749084996097988	0.999114747917564
Ccdc97	1848.24512589019	-0.621294195330306	2.00604858697185	-0.309710442391704	0.756781161103626	0.999114747917564
Akap8l	3292.72699959127	-1.72218289522157	1.57435171438404	-1.09389971725306	0.273998962793019	0.999114747917564
Gtf2f1	1567.88089145971	0.552870578695195	2.08188204345625	0.26556287395483	0.790575881419095	0.999114747917564
Dennd1c	3340.809669244	-0.299247027279198	1.04480625654322	-0.286413892915675	0.774561135203526	0.999114747917564
Lcp2	8953.33100833813	0.577133963473562	0.556914561172698	1.03630611176387	0.300059355753957	0.999114747917564
Mea1	2472.04203437943	-0.291928563480141	1.28711782801504	-0.22680795582666	0.820573077056344	0.999114747917564
Kdelr1	1078.86547452711	0.155885202613284	1.72911664982195	0.0901530863341902	0.928165564133409	0.999114747917564
Flii	4290.94777664152	1.29481989405646	1.98622131179742	0.651901118151187	0.51446496355464	0.999114747917564
Adprh	964.794857011432	-0.82594754101576	2.42569894524701	-0.340498783921288	0.733480938427699	0.999114747917564
Tpra1	2014.54253680509	-0.403616956563072	2.18801474334627	-0.184467201507882	0.853646955007711	0.999114747917564
Adgre5	11526.2399585026	0.382911554767721	0.468607422392601	0.817126525253621	0.413856125859558	0.999114747917564
Il17ra	3137.75358660254	-1.10218919428388	1.71033610183946	-0.644428421465514	0.519297659360489	0.999114747917564
Map2k7	388.155586638558	-1.67240047808507	2.00941499459961	-0.832282272492101	0.405249634489896	0.999114747917564
Ap2a2	1886.92848298104	1.66363400874256	1.81245714805023	0.917888740449524	0.358677116988848	0.999114747917564
Pnkp	2230.36491028289	-1.19235199802706	2.69216001671121	-0.442897892631085	0.657839591770112	0.999114747917564
Clptm1	2671.6534690603	-0.16275435033056	1.30777876559915	-0.124450981015888	0.900958210042064	0.999114747917564
Relb	10271.4945875494	0.624665862559432	1.03387287107015	0.604199877991623	0.545710762045145	0.999114747917564
Hbp1	1010.60591781843	0.252016692080021	1.77655621557149	0.141856863222846	0.887193067813347	0.999114747917564
